Hour,Ride dist,Duration (ms)
0.0,0.906902434578,490913.56
1.0,1.04217118216,586028.5
2.0,0.917255835914,483200.6
3.0,0.640541950232,334812.0
4.0,1.91908364655,748732.571429
5.0,1.14926747621,535269.528302
6.0,1.15960926756,572295.014184
7.0,1.31920164901,704887.501938
8.0,1.31330677379,803534.619198
9.0,1.06780086104,647251.410835
10.0,1.14703344761,648579.838889
11.0,1.04783059958,668690.980392
12.0,0.956545753186,632663.810726
13.0,0.939764380174,846352.727273
14.0,1.07067378809,676557.837838
15.0,1.07612668056,660319.571429
16.0,1.22796098817,724506.472566
17.0,1.23024931039,740346.886808
18.0,1.08387630661,773712.389928
19.0,0.976644439411,625275.523438
20.0,0.878492447972,548076.991071
21.0,0.951546946439,561306.295455
22.0,0.966610272737,568549.15873
23.0,0.93804523051,551812.866667
